yeartime     gigtonne  gigtonne_corrected
2002.29       0.00     178.90
2002.35      22.21     102.47
2002.62     -53.67      83.09
2002.71      48.34      97.19
2002.79      69.18      61.82
2002.87     -61.96      58.68
2002.96     -44.98      59.19
2003.04     -49.77      64.73
2003.12    -198.21      48.10
2003.20    -166.40      42.95
2003.29     -37.78      43.58
2003.36       3.99      48.24
2003.54    -121.15      37.86
2003.62    -115.46      39.87
2003.71    -124.11      39.61
2003.79     -40.80      40.19
2003.87    -100.93      40.89
2003.96    -266.04      39.82
2004.02    -325.99      43.72
2004.13    -485.37      40.46
2004.21    -333.70      37.97
2004.29    -379.77      37.56
2004.37    -150.00      38.36
2004.46    -182.54      37.47
2004.54    -307.14      34.08
2004.62    -160.67      35.44
2004.71    -156.14      36.20
2004.79     -79.44      33.33
2004.87    -222.13      36.02
2004.96    -300.84      35.33
2005.04    -387.52      33.76
2005.12    -449.66      35.22
2005.20    -400.48      34.97
2005.29    -246.26      34.30
2005.37    -224.42      35.04
2005.46    -200.13      35.16
2005.54    -154.22      33.88
2005.62    -203.72      34.19
2005.71    -107.17      33.91
2005.79     -99.88      33.17
2005.87     -53.44      33.08
2005.96    -157.86      38.45
2006.04    -219.98      34.46
2006.12    -313.28      35.03
2006.20    -178.13      35.19
2006.29    -153.01      35.23
2006.37     -75.17      35.51
2006.45     -45.22      37.90
2006.54     -93.88      37.37
2006.62      -3.26      36.14
2006.71     -15.48      37.96
2006.79     -90.28      37.00
2006.87     -83.52      36.85
2006.96    -229.30      37.92
2007.04    -433.61      38.38
2007.12    -424.42      37.94
2007.20    -355.69      37.66
2007.29    -330.58      37.77
2007.37    -173.56      37.57
2007.45    -185.85      38.38
2007.54    -262.42      37.52
2007.62    -225.41      39.45
2007.71    -152.02      39.17
2007.79    -241.12      39.51
2007.87    -433.66      40.82
2007.96    -516.24      39.77
2008.04    -723.93      39.43
2008.12    -602.83      41.45
2008.21    -735.14      40.25
2008.29    -557.14      42.17
2008.37    -468.75      40.75
2008.46    -551.97      40.38
2008.54    -645.94      40.84
2008.62    -597.33      40.15
2008.71    -436.67      40.44
2008.79    -527.37      39.48
2008.87    -515.06      40.89
2008.96    -619.25      40.43
2009.04    -701.06      39.60
2009.12    -675.73      39.72
2009.20    -612.27      39.33
2009.29    -574.28      36.58
2009.37    -547.82      35.97
2009.46    -535.34      35.73
2009.54    -432.91      36.75
2009.62    -462.83      34.71
2009.71    -475.77      33.67
2009.79    -531.09      33.92
2009.87    -516.81      33.46
2009.96    -627.20      33.43
2010.04    -797.91      33.03
2010.12    -803.50      32.76
2010.20    -685.00      34.51
2010.29    -754.80      32.20
2010.37    -776.09      32.63
2010.45    -792.41      38.44
2010.54    -992.24      35.63
2010.62    -919.04      34.62
2010.71    -840.59      36.40
2010.79    -872.89      38.44
2010.87    -892.95      39.59
2010.95    -905.87      40.67
2011.13    -997.18      43.16
2011.20   -1011.84      41.62
2011.29   -1023.21      41.22
2011.37    -957.41      40.16
2011.54    -904.73      42.75
2011.62    -920.00      40.50
2011.71    -831.44      39.71
2011.79    -877.10      38.98
2011.83    -873.04      39.28
2012.00   -1140.92      39.05
2012.04   -1070.65      37.63
2012.12   -1133.68      38.79
2012.21   -1110.44      37.12
2012.26   -1050.44      43.32
2012.46   -1086.88      39.99
2012.54   -1053.30      38.80
2012.62    -973.54      37.70
2012.70    -939.35      41.16
2012.88   -1062.05      41.62
2012.96   -1110.01      39.53
2013.04   -1279.42      38.98
2013.12   -1387.24      40.16
2013.30   -1128.03      41.36
2013.37   -1229.70      37.57
2013.46   -1238.47      38.44
2013.54   -1199.95      37.79
2013.79   -1291.30      38.01
2013.87   -1338.91      36.03
2013.96   -1390.68      35.45
2014.02   -1499.49      40.12
2014.20   -1606.93      32.35
2014.29   -1526.03      33.19
2014.37   -1432.52      33.14
2014.45   -1476.28      35.04
2014.62   -1524.04      33.51
2014.71   -1351.68      33.00
2014.79   -1440.50      31.99
2014.88   -1516.08      31.56
2015.06   -1820.25      35.31
2015.12   -1896.73      56.93
2015.20   -1862.67      30.75
2015.29   -1841.14      32.24
2015.32   -1768.78      34.83
2015.53   -1734.81      37.19
2015.62   -1886.60      34.62
2015.70   -1839.54      36.97
2015.98   -1883.80      36.86
2016.04   -1905.81      35.36
2016.12   -1982.14      34.10
2016.21   -1917.61      35.08
2016.38   -1780.76      37.40
2016.46   -1763.41      34.43
2016.54   -1644.64      34.27
2016.64   -1590.39      36.53
2016.91   -1661.93      61.29
2016.98   -1574.82      61.17
2017.06   -1594.64      60.59
2017.25   -1916.27      61.89
2017.31   -1837.77      61.26
2017.36   -1803.19      59.87
2017.44   -1800.29      59.78
2018.45   -1972.63      34.35
2018.52   -1988.08      31.43
2018.83   -2247.14      30.30
2018.87   -2211.84      28.20
2018.96   -2264.98      27.41
2019.04   -2355.96      27.15
2019.12   -2399.30      27.11
2019.20   -2303.06      26.87
2019.29   -2122.95      26.88
2019.37   -2175.51      26.79
2019.45   -2267.36      26.75
2019.54   -2171.71      26.79
2019.62   -2217.20      26.79
2019.71   -2092.53      26.85
2019.79   -2275.55      26.81
2019.87   -2336.54      26.74
2019.96   -2382.52      26.73
2020.04   -2691.42      26.93
2020.12   -2797.08      26.96
2020.21   -2617.25      26.75
2020.29   -2524.75      26.79
2020.37   -2445.94      26.76
2020.46   -2413.50      26.74
2020.54   -2346.17      26.79
2020.62   -2238.80      26.78
2020.71   -2426.06      26.75
2020.79   -2525.50      26.77
2020.87   -2572.24      27.57
2020.96   -2725.66      28.24
2021.04   -3040.96      29.06
2021.12   -2724.64      29.92
2021.20   -2677.91      30.56
2021.29   -2468.81      31.42
2021.37   -2451.43      32.39
2021.46   -2616.82      33.27
2021.54   -2663.02      39.25
2021.62   -2614.19      46.31
2021.71   -2684.45      53.82
2021.79   -2538.90      61.90
