Zip Code ,Population,Case Count - Cumulative,Case Count - Last 30 Days ,Case Count - Last 14 Days ,Case Count Per 100K - Cumulative,Case Count Per 100K - Last 30 Days,Case Count Per 100K - Last 14 Days
43001,2810.0,522.0,90,23,18576.51,3202.85,818.51
43002,3744.0,,,,,,
43003,3005.0,578.0,140,47,19234.61,4658.9,1564.06
43004,26139.0,7466.0,"1,632",321,28562.68,6243.54,1228.05
43005,201.0,35.0,5,,17412.94,2487.56,
43006,655.0,69.0,11,,10534.35,1679.39,
43008,2614.0,446.0,86,27,17061.97,3289.98,1032.9
43009,2453.0,382.0,61,22,15572.77,2486.75,896.86
43010,260.0,68.0,8,,26153.85,3076.92,
43011,7722.0,1611.0,252,80,20862.47,3263.4,1036.0
43013,809.0,227.0,47,12,28059.33,5809.64,1483.31
43014,3507.0,588.0,98,22,16766.47,2794.41,627.32
43015,55462.0,12873.0,"3,244",831,23210.49,5849.05,1498.32
43016,36260.0,8572.0,"2,097",459,23640.38,5783.23,1265.86
43017,40649.0,8605.0,"2,029",510,21169.03,4991.51,1254.64
43019,9295.0,1721.0,271,81,18515.33,2915.55,871.44
43021,12327.0,2929.0,512,163,23760.85,4153.48,1322.3
43022,4500.0,647.0,91,19,14377.78,2022.22,422.22
43023,13864.0,2553.0,532,151,18414.6,3837.28,1089.15
43025,5100.0,1177.0,226,70,23078.43,4431.37,1372.55
43026,62169.0,14225.0,"3,312",797,22881.18,5327.41,1281.99
43028,8335.0,1537.0,261,89,18440.31,3131.37,1067.79
43029,563.0,179.0,41,8,31793.96,7282.42,1420.96
43030,113.0,39.0,5,,34513.27,4424.78,
43031,13408.0,2801.0,533,140,20890.51,3975.24,1044.15
43032,19.0,,,,,,
43033,298.0,71.0,12,,23825.5,4026.85,
43035,27011.0,6279.0,"1,532",377,23246.08,5671.76,1395.73
43036,270.0,58.0,20,7,21481.48,7407.41,2592.59
43037,301.0,87.0,20,6,28903.65,6644.52,1993.36
43040,34169.0,9277.0,"2,110",557,27150.34,6175.19,1630.13
43044,4866.0,1066.0,222,88,21907.11,4562.27,1808.47
43045,1982.0,472.0,95,23,23814.33,4793.14,1160.44
43046,3812.0,632.0,111,24,16579.22,2911.86,629.59
43050,28508.0,6523.0,"1,363",386,22881.3,4781.11,1354.01
43054,26953.0,5051.0,"1,057",312,18740.03,3921.64,1157.57
43055,61904.0,13813.0,"2,681",829,22313.58,4330.9,1339.17
43056,19039.0,4213.0,744,198,22128.26,3907.77,1039.97
43060,2809.0,576.0,97,31,20505.52,3453.19,1103.6
43061,4278.0,987.0,213,50,23071.53,4978.96,1168.77
43062,29460.0,7809.0,"1,612",334,26507.13,5471.83,1133.74
43064,14243.0,3857.0,845,208,27079.97,5932.74,1460.37
43065,42782.0,8427.0,"1,818",430,19697.54,4249.45,1005.1
43066,1239.0,274.0,62,19,22114.61,5004.04,1533.49
43067,1458.0,349.0,61,20,23936.9,4183.81,1371.74
43068,55225.0,14614.0,"2,994",575,26462.65,5421.46,1041.2
43070,159.0,48.0,9,,30188.68,5660.38,
43071,1986.0,565.0,104,28,28449.14,5236.66,1409.87
43072,5701.0,1071.0,206,72,18786.18,3613.4,1262.94
43074,13229.0,3236.0,641,159,24461.41,4845.42,1201.9
43076,8421.0,1945.0,311,88,23097.02,3693.15,1045.01
43077,369.0,70.0,12,,18970.19,3252.03,
43078,20446.0,4549.0,937,348,22248.85,4582.8,1702.04
43080,5254.0,1115.0,194,59,21221.93,3692.42,1122.95
43081,61572.0,12315.0,"2,745",628,20000.97,4458.2,1019.94
43082,33636.0,5785.0,"1,204",284,17198.83,3579.5,844.33
43084,766.0,201.0,39,15,26240.21,5091.38,1958.22
43085,26216.0,4690.0,"1,004",275,17889.84,3829.72,1048.98
43101,285.0,80.0,13,6,28070.18,4561.4,2105.26
43102,4500.0,982.0,216,65,21822.22,4800.0,1444.44
43103,11006.0,2820.0,553,153,25622.39,5024.53,1390.15
43105,7626.0,1796.0,342,91,23551.01,4484.66,1193.29
43106,1589.0,368.0,91,30,23159.22,5726.87,1887.98
43107,3399.0,694.0,113,28,20417.77,3324.51,823.77
43109,82.0,,,,,,
43110,38817.0,9710.0,"1,905",433,25014.81,4907.64,1115.49
43111,289.0,37.0,7,,12802.77,2422.15,
43112,4945.0,1197.0,251,63,24206.27,5075.83,1274.01
43113,24341.0,5842.0,"1,402",518,24000.66,5759.83,2128.1
43115,1493.0,308.0,74,22,20629.6,4956.46,1473.54
43116,1563.0,728.0,142,28,46577.1,9085.09,1791.43
43117,212.0,,,,,,
43119,28551.0,7066.0,"1,507",338,24748.7,5278.27,1183.85
43123,65442.0,15326.0,"3,176",807,23419.21,4853.15,1233.15
43125,13551.0,3048.0,607,140,22492.8,4479.37,1033.13
43126,498.0,69.0,12,5,13855.42,2409.64,1004.02
43127,240.0,46.0,5,,19166.67,2083.33,
43128,2558.0,530.0,143,52,20719.31,5590.3,2032.84
43130,61259.0,14447.0,"3,175",912,23583.47,5182.91,1488.76
43135,3914.0,891.0,210,79,22764.44,5365.36,2018.4
43136,690.0,521.0,105,32,75507.25,15217.39,4637.68
43137,2276.0,582.0,125,32,25571.18,5492.09,1405.98
43138,18107.0,4279.0,922,333,23631.74,5091.95,1839.07
43140,24514.0,4923.0,970,279,20082.4,3956.92,1138.13
43142,102.0,19.0,5,,18627.45,4901.96,
43143,5762.0,1353.0,269,73,23481.43,4668.52,1266.92
43144,401.0,110.0,21,,27431.42,5236.91,
43145,2189.0,387.0,87,21,17679.31,3974.42,959.34
43146,12275.0,5924.0,630,152,48260.69,5132.38,1238.29
43147,41000.0,11017.0,"2,278",528,26870.73,5556.1,1287.8
43148,2350.0,514.0,100,36,21872.34,4255.32,1531.91
43149,2414.0,446.0,70,24,18475.56,2899.75,994.2
43150,2158.0,541.0,98,32,25069.51,4541.24,1482.85
43151,316.0,66.0,14,,20886.08,4430.38,
43152,787.0,166.0,35,10,21092.76,4447.27,1270.65
43153,742.0,166.0,35,12,22371.97,4716.98,1617.25
43154,3770.0,720.0,137,51,19098.14,3633.95,1352.79
43155,2669.0,462.0,76,19,17309.85,2847.51,711.88
43156,201.0,56.0,14,,27860.7,6965.17,
43157,648.0,140.0,29,8,21604.94,4475.31,1234.57
43158,345.0,44.0,9,,12753.62,2608.7,
43160,21854.0,5983.0,"1,401",529,27377.14,6410.73,2420.61
43162,7189.0,1489.0,342,103,20712.2,4757.27,1432.74
43164,2233.0,478.0,102,27,21406.18,4567.85,1209.14
43201,33455.0,8286.0,"1,177",242,24767.6,3518.16,723.36
43202,21141.0,3655.0,872,220,17288.68,4124.69,1040.63
43203,8368.0,1820.0,345,52,21749.52,4122.85,621.41
43204,42463.0,9018.0,"1,898",467,21237.31,4469.77,1099.78
43205,12725.0,2607.0,472,115,20487.23,3709.23,903.73
43206,22677.0,4494.0,832,222,19817.44,3668.92,978.97
43207,47265.0,10408.0,"1,966",475,22020.52,4159.53,1004.97
43209,28516.0,5026.0,"1,161",268,17625.19,4071.4,939.82
43210,12530.0,3470.0,"1,282",357,27693.54,10231.44,2849.16
43211,23453.0,4407.0,746,139,18790.77,3180.83,592.67
43212,21350.0,4484.0,886,236,21002.34,4149.88,1105.39
43213,33551.0,7512.0,"1,556",260,22389.79,4637.72,774.94
43214,26229.0,4590.0,"1,002",257,17499.71,3820.2,979.83
43215,14440.0,4743.0,853,191,32846.26,5907.2,1322.71
43217,2440.0,506.0,118,26,20737.7,4836.07,1065.57
43219,30526.0,6703.0,"1,166",223,21958.33,3819.69,730.52
43220,26549.0,4848.0,"1,141",281,18260.57,4297.71,1058.42
43221,32913.0,5867.0,"1,390",398,17825.78,4223.26,1209.25
43222,4529.0,874.0,149,32,19297.86,3289.91,706.56
43223,25963.0,6493.0,"1,262",270,25008.67,4860.76,1039.94
43224,44678.0,8161.0,"1,535",313,18266.26,3435.7,700.57
43227,24296.0,5321.0,908,176,21900.72,3737.24,724.4
43228,54362.0,13061.0,"2,863",642,24025.97,5266.55,1180.97
43229,53693.0,11560.0,"2,347",416,21529.81,4371.15,774.78
43230,58167.0,12274.0,"2,631",551,21101.31,4523.18,947.27
43231,21828.0,5024.0,"1,019",227,23016.31,4668.32,1039.95
43232,45352.0,9945.0,"1,865",343,21928.47,4112.28,756.31
43235,42673.0,8552.0,"1,965",495,20040.78,4604.79,1159.98
43240,4295.0,1314.0,334,78,30593.71,7776.48,1816.07
43302,54023.0,16222.0,"3,239",969,30027.95,5995.59,1793.68
43310,2841.0,612.0,105,39,21541.71,3695.88,1372.76
43311,18946.0,4404.0,853,281,23245.01,4502.27,1483.16
43314,3033.0,718.0,153,59,23672.93,5044.51,1945.27
43315,7272.0,1474.0,319,94,20269.53,4386.69,1292.63
43316,5869.0,1336.0,222,52,22763.67,3782.59,886.01
43317,153.0,72.0,6,,47058.82,3921.57,
43318,4537.0,713.0,106,28,15715.23,2336.35,617.15
43319,926.0,200.0,48,12,21598.27,5183.59,1295.9
43320,1524.0,347.0,59,25,22769.03,3871.39,1640.42
43321,256.0,54.0,10,,21093.75,3906.25,
43322,355.0,75.0,22,6,21126.76,6197.18,1690.14
43323,699.0,133.0,19,,19027.18,2718.17,
43324,2963.0,536.0,96,33,18089.77,3239.96,1113.74
43326,13745.0,2963.0,506,154,21556.93,3681.34,1120.41
43330,119.0,29.0,5,,24369.75,4201.68,
43331,4507.0,969.0,179,46,21499.89,3971.6,1020.63
43332,1734.0,508.0,126,35,29296.42,7266.44,2018.45
43333,509.0,159.0,26,10,31237.72,5108.06,1964.64
43334,6317.0,1455.0,270,66,23033.09,4274.18,1044.8
43337,1149.0,258.0,58,11,22454.31,5047.87,957.35
43338,10164.0,2350.0,386,102,23120.82,3797.72,1003.54
43340,1845.0,288.0,41,8,15609.76,2222.22,433.6
43341,948.0,227.0,41,21,23945.15,4324.89,2215.19
43342,2861.0,805.0,162,52,28137.02,5662.36,1817.55
43343,1012.0,244.0,43,23,24110.67,4249.01,2272.73
43344,5996.0,1196.0,271,82,19946.63,4519.68,1367.58
43345,742.0,183.0,20,5,24663.07,2695.42,673.85
43347,1501.0,302.0,47,20,20119.92,3131.25,1332.45
43348,1736.0,434.0,75,35,25000.0,4320.28,2016.13
43351,10013.0,2534.0,423,118,25307.1,4224.51,1178.47
43356,1388.0,247.0,57,20,17795.39,4106.63,1440.92
43357,3921.0,1000.0,187,69,25503.7,4769.19,1759.76
43358,2588.0,498.0,85,19,19242.66,3284.39,734.16
43359,818.0,169.0,31,7,20660.15,3789.73,855.75
43360,1600.0,316.0,58,15,19750.0,3625.0,937.5
43402,32259.0,7342.0,"1,511",365,22759.54,4683.96,1131.47
43403,5501.0,742.0,163,59,13488.46,2963.1,1072.53
43406,1920.0,324.0,54,12,16875.0,2812.5,625.0
43407,729.0,146.0,21,,20027.43,2880.66,
43408,270.0,58.0,7,,21481.48,2592.59,
43410,10030.0,2546.0,419,79,25383.85,4177.47,787.64
43412,4373.0,863.0,151,32,19734.74,3453.01,731.76
43413,1522.0,293.0,59,19,19250.99,3876.48,1248.36
43416,2989.0,568.0,100,32,19003.01,3345.6,1070.59
43420,30133.0,7669.0,"1,509",354,25450.5,5007.8,1174.79
43430,4504.0,1028.0,181,38,22824.16,4018.65,843.69
43431,4868.0,1092.0,177,42,22432.21,3635.99,862.78
43432,1278.0,263.0,41,,20579.03,3208.14,
43433,85.0,,,,,,
43434,61.0,,,,,,
43435,1345.0,264.0,45,20,19628.25,3345.72,1486.99
43437,578.0,96.0,13,5,16609.0,2249.13,865.05
43438,202.0,28.0,,,13861.39,,
43439,53.0,,,,,,
43440,4738.0,776.0,90,18,16378.22,1899.54,379.91
43442,1170.0,184.0,33,6,15726.5,2820.51,512.82
43443,1920.0,452.0,82,15,23541.67,4270.83,781.25
43445,1239.0,224.0,28,,18079.1,2259.89,
43446,88.0,,,,,,
43447,3645.0,807.0,149,29,22139.92,4087.79,795.61
43449,8219.0,1561.0,286,55,18992.58,3479.74,669.18
43450,3636.0,761.0,158,49,20929.59,4345.43,1347.63
43451,1251.0,261.0,39,15,20863.31,3117.51,1199.04
43452,13674.0,2791.0,461,125,20411.0,3371.36,914.14
43456,291.0,133.0,,,45704.47,,
43457,1536.0,370.0,58,22,24088.54,3776.04,1432.29
43458,521.0,38.0,,,7293.67,,
43460,6498.0,1489.0,286,54,22914.74,4401.35,831.02
43462,1191.0,243.0,41,9,20403.02,3442.49,755.67
43463,39.0,,,,,,
43464,1377.0,327.0,63,12,23747.28,4575.16,871.46
43465,5273.0,1275.0,244,53,24179.78,4627.35,1005.12
43466,2059.0,446.0,95,25,21661.0,4613.89,1214.18
