X,Y,FID,NAME,CLASS,ST,STFIPS,PLACEFIPS,CAPITAL,POP_CLASS,POPULATION
-111.9541029,43.47579236,1,Ammon,city,ID,16,1601990, ,6,15181
-112.345567,43.1939371,2,Blackfoot,city,ID,16,1607840, ,6,11946
-116.2301102,43.59901481,3,Boise City,city,ID,16,1608830,State,8,225405
-113.7932927,42.53674089,4,Burley,city,ID,16,1611260, ,6,10727
-116.6856189,43.66162605,5,Caldwell,city,ID,16,1612250, ,7,53942
-112.4695578,42.92274567,6,Chubbuck,city,ID,16,1614680, ,6,14655
-116.7931501,47.70458908,7,Coeur d'Alene,city,ID,16,1616750, ,7,50469
-116.3508845,43.69468764,8,Eagle,city,ID,16,1623410, ,6,25825
-116.2934025,43.66470055,9,Garden City,city,ID,16,1629620, ,6,12172
-116.8011222,47.76856022,10,Hayden,city,ID,16,1636370, ,6,14759
-112.0361049,43.48763197,11,Idaho Falls,city,ID,16,1639700, ,7,60459
-114.5156931,42.71845024,12,Jerome,city,ID,16,1641320, ,6,11403
-116.4063972,43.48969664,13,Kuna,city,ID,16,1644290, ,6,18179
-117.012528,46.40201856,14,Lewiston,city,ID,16,1646540, ,6,33087
-116.3968518,43.61767013,15,Meridian,city,ID,16,1652120, ,7,94647
-116.9989025,46.73055046,16,Moscow,city,ID,16,1654550, ,6,25597
-115.696567,43.13279156,17,Mountain Home,city,ID,16,1654730, ,6,13957
-116.5626567,43.58248587,18,Nampa,city,ID,16,1656260, ,7,91299
-112.4403314,42.86382584,19,Pocatello,city,ID,16,1664090, ,7,55781
-116.9491065,47.72197353,20,Post Falls,city,ID,16,1664810, ,6,31770
-111.7926482,43.82206521,21,Rexburg,city,ID,16,1667420, ,6,28019
-114.4638975,42.56302955,22,Twin Falls,city,ID,16,1682810, ,6,49070
-87.98278775,41.92424144,23,Addison,village,IL,17,1700243, ,6,37260
-88.31546346,42.16268894,24,Algonquin,village,IL,17,1700685, ,6,30536
-87.73507,41.67027816,25,Alsip,village,IL,17,1701010, ,6,19299
-90.18227517,38.89136142,26,Alton,city,IL,17,1701114, ,6,26822
-88.09435575,42.47836437,27,Antioch,village,IL,17,1701595, ,6,14421
-87.98254512,42.09556846,28,Arlington Heights,village,IL,17,1702154, ,7,76280
-88.3067425,41.7591645,29,Aurora,city,IL,17,1703012, ,8,203195
-88.12784458,42.15150105,30,Barrington,village,IL,17,1703844, ,6,10479
-88.18448786,41.99109179,31,Bartlett,village,IL,17,1704013, ,6,41945
-88.30925205,41.84901502,32,Batavia,city,IL,17,1704078, ,6,26010
-87.84967912,42.42872979,33,Beach Park,village,IL,17,1704303, ,6,13523
-89.98737651,38.5161488,34,Belleville,city,IL,17,1704845, ,6,42721
