qNo,Type,Values,Answer
1,Cbox,a|49ers|test123|test_123,
2,Cbox,True|False,
3,Cbox,12 6| 12 72|72 12|6 12,
4,Cbox,Yes|No,
5,Cbox,-1| 0|1|Terminates with an error,
6,Cbox,11| 1|10|Terminates with an error,
7,Cbox,"testFunction('Jay')|testFunction('Jay','Hi')|testFunction('Jay',greet1='Bye')|testFunction(greet1='Hi')",
8,Cbox,-9|-8|-1|0,
9,Cbox,-9|-4|5|0,
10,Cbox,-9|-1|4|0,
11,Cbox,15|160|180|13,
12,Cbox,Candidate one wins!|Candidate two wins!|There was a tie.|Error,
13,Cbox,Candidate one wins!|Candidate two wins!|Candidate three wins!|A runoff is required.,
14,Cbox,13|25|27|32,
15,Cbox,13|25|27|32,
16,Cbox,10|11|Never prints anything|12,
