qNo,Type,Values,Answer
1,Cbox,a|49ers|test123|test_123,0
2,Cbox,True|False,0
3,Cbox,12 6| 12 72|72 12|6 12,0
4,Cbox,Yes|No,0
5,Cbox,-1| 0|1|Terminates with an error,0
6,Cbox,11| 1|10|Terminates with an error,0
7,Cbox,"testFunction('Jay')|testFunction('Jay','Hi')|testFunction('Jay',greet1='Bye')|testFunction(greet1='Hi')",0
8,Cbox,-9|-8|-1|0,0
9,Cbox,-9|-4|5|0,0
10,Cbox,-9|-1|4|0,0
11,Cbox,15|160|180|13,0
12,Cbox,15|160|180|13,0
13,Cbox,Candidate one wins!|Candidate two wins!|There was a tie.|Error,0
14,Cbox,Candidate one wins!|Candidate two wins!|Candidate three wins!|A runoff is required.,0
15,Cbox,13|25|27|32,0
16,Cbox,13|25|27|32,0
17,Cbox,10|11|Never prints anything|12,0
